regulator,MOS (M-),GLS (M-),GLS (M+),ALS (M-),MOS (M+),ALS (M+)
NR2E3,0.118999090370921,0.620723038015059,-0.25459459158299,0.854718181821992,-1.40175084794446,0.772677740703095
ZBTB33,1.06905339020263,-2.80096780013165,1.4545182555782,-3.27337470752087,1.79793498179999,1.18436014228589
ZSCAN30,1.99465105969208,1.73607894514789,-2.85073010638342,4.18688032823741,-1.9698682196855,1.54965807426242
ZGLP1,0.881197601054955,0.332524820693505,-2.27238863195956,3.91734004305452,0.603618270489089,-0.535029243726975
ZNF730,0.364752415498691,0.103558328584743,-0.813678811406421,1.78880998122571,-0.327045970860366,0.193310520147639
ZNF737,-0.0585113792167114,-0.899718892041687,-2.14913649274094,1.13101807180088,-1.10768312195653,2.805482986015
HSFX2,0.444531982337628,-0.755117249657241,-1.19247824584453,2.24731406069013,-1.36287990584395,0.452816606646092
ZNF717,-0.259284209278636,0.667397590745627,-0.181043888685666,1.70146753653282,-1.20813755603677,0.887128716551765
ZNF705G,-2.03168787112195,-0.0897018733815367,1.7087470720255,-1.37577907954177,1.46715125907543,1.20184954390359
FOXO6,-0.531862867416511,1.03372866844269,-1.05499586914955,2.0063205844601,-1.75808279915887,1.3203281829927
MEF2B,1.72293918522903,0.174521885088997,-1.87696228160325,1.71688254940957,1.06029649725841,-1.37711339765701
HSFX1,0.105605388759003,0.308434195515715,-0.3954666340238,1.36881784945293,-0.313442774076898,0.747056477659228
NR1H3,-1.75699241724218,2.34017486668585,1.01306029223838,0.161023373097496,-2.87644874519644,-2.6447431942547
PREB,-0.572363802853389,-1.75465515325456,0.857795790182717,-2.08606849206446,1.72833209297486,0.580494061348123
ZNF263,-0.302616232822184,-0.659583672375174,-1.0196440456537,0.11874945740299,0.638282151485214,0.493245190879992
CEBPZ,1.71578278932322,-3.24148139134713,1.36307014134208,-2.39076178787065,2.7118693942723,1.15791601266386
TRIM28,-0.48012776528047,-1.48271408543399,1.14375252068418,-1.2017357451902,1.65558811322787,-0.328463282125427
ZNF197,-0.582483742259959,-0.494259654869466,0.851347995491707,0.21464345252418,-0.631724895895889,0.251111636047309
ZNF256,1.76645934897334,0.0452193033294378,-2.4726027007042,0.943076645661722,1.74104947681478,-0.907083951225293
TSHZ1,1.76808047056812,-1.84365700889836,-3.6483169229223,2.32150579203627,-0.656623643536184,2.70576000578626
OLIG2,-0.998798212357211,1.07621717036585,0.188169407135347,-0.0988034474934539,-1.50430449782071,0.966834673514028
ZNF443,-3.37987656292493,2.60276590788773,2.19144685805726,0.677384368987688,-2.93005537293076,1.49138781991749
DENND4A,1.22746157765924,-1.06181455628177,-1.72756138911652,0.959348099191116,1.09629021750828,1.09911046002325
IRX5,-3.68709536630051,4.32797288585044,5.70972752183251,-2.39209298213115,-3.82198684204427,-2.88886493489339
CDKN2A,-0.35816050193597,0.564548504634795,1.20443644765785,-0.484871069667465,-0.814717170082401,-0.893872751007416
SNAPC5,-1.91117981137877,-1.14478989207838,1.50179247160002,-1.68162143898086,0.547984881776844,1.17750375427584
ZNF267,1.02387778995998,1.74587133207509,1.90535350489108,-2.03292572125346,0.581005599159341,-2.119395304741
IKZF1,8.28809633306751,-5.42388937163584,-9.54418103090592,-0.354026753322287,8.59760612339505,-7.31090808159752
TRIM22,5.54327128332871,-3.21848441251845,-5.08034640676079,-1.63817862856623,5.07601174261644,-5.63594496076917
HMG20B,-2.50472104308524,-0.306017160540359,3.07545138908382,-3.25944074908018,1.25391883678952,0.80995833994483
HMG20A,0.387186273513508,-0.409208159859629,0.119254034145236,-1.66557631994101,0.915183820965315,0.772037768802987
KLF2,-0.944812759713671,3.29016320998874,3.78745542539683,-1.67541469115266,-2.54691107997048,-2.28392115520355
CITED2,6.80496305643084,-3.96497505504824,-6.4504793566781,3.87364566544068,4.94049095770087,-1.42465026714594
IRF9,-4.02586732237507,5.36215948467128,4.63373140322379,-3.49803111306883,-2.31061707530615,-3.27576210617806
SCML2,1.87212080091007,-2.89889137012146,-5.60317857222629,7.86783745898989,0.618854578432974,1.85863101055491
